"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","metacognition","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
0,4,1,1.50084920000063,"['n']",1,"right","['e']",0,0.344396399999823,0.2,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
1,4,1,1.03383920000033,"['n']",1,"right","['e']",0,0.212646900000436,0.4,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
2,4,1,0.801186699999562,"['n']",1,"right","['e']",0,0.191218300000401,0.4,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
3,4,1,0.917662099999689,"['n']",0,"left","['e']",0,0.196307600000182,0.1,1,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
4,4,1,0.933166199999505,"['n']",0,"left","['e']",0,0.234060499999941,0.2,1,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
5,4,1,0.751439800000298,"['n']",0,"left","['u']",1,0.35637029999998,0.4,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
6,4,1,1.40141959999983,"['c']",1,"left","['e']",0,0.209022900000491,0.4,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
7,4,1,1.00121639999998,"['c']",1,"left","['u']",1,0.259365500000058,0.4,1,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
8,4,1,1.39988320000066,"['n']",1,"right","['e']",0,0.180398999999852,0.1,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
9,4,1,0.832978600000388,"['c']",1,"left","['u']",1,0.558441099999982,0.4,1,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
10,4,1,0.81750589999956,"['n']",1,"right","['e']",0,0.378721500000211,0.2,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
11,4,1,1.26821740000014,"['n']",1,"right","['e']",0,0.426468200000272,0.2,0,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
12,4,1,1.18475920000037,"['c']",0,"right","['e']",0,0.348927300000469,0.1,1,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
13,4,1,1.25011329999961,"['c']",0,"right","['e']",0,0.192374899999777,0.2,1,0,"FastFast",1,17,"Woman","Right",NA,5,TRUE,TRUE,TRUE,TRUE
