"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
0,4,1,1.20014149999997,"['n']",1,"right","['0']",6,0.617424000000028,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
1,4,1,1.16601170000013,"['c']",0,"right","['9']",5,0.584120399999847,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
2,4,1,1.16677659999982,"['c']",1,"left","['0']",6,0.283779300000106,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
3,4,1,1.58403410000005,"['n']",0,"left","['0']",6,0.333655199999839,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
4,4,1,1.00013149999995,"['n']",1,"right","['0']",6,0.43386559999999,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
5,4,1,0.95092180000006,"['c']",1,"left","['0']",6,0.300432400000091,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
6,4,1,0.750804500000186,"['c']",1,"left","['0']",6,0.250036900000168,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
7,4,1,1.21632820000013,"['n']",1,"right","['9']",5,0.633841300000086,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
8,4,1,0.950210299999981,"['n']",1,"right","['0']",6,0.283946399999877,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
9,4,1,0.867056599999842,"['c']",0,"right","['0']",6,0.26773500000013,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
10,4,1,0.650234899999987,"['c']",1,"left","['0']",6,0.283729900000026,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
11,4,1,1.24938299999985,"['n']",1,"right","['9']",5,0.40031369999997,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
12,4,1,1.16696130000014,"['n']",1,"right","['0']",6,0.533578100000113,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
13,4,1,1.18368439999995,"['c']",0,"right","['9']",5,0.567137400000092,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
14,4,1,0.867119200000161,"['c']",1,"left","['0']",6,0.217047700000194,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
15,4,1,0.71775330000014,"['c']",1,"left","['0']",6,0.200634799999989,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
16,4,1,0.716690799999924,"['c']",1,"left","['0']",6,0.317042399999991,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
