withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.6679763000001913,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
1,1,1,1.5330381999997371,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
2,1,1,0.8846204000001308,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
3,1,1,1.5842867000001206,['c'],0,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
4,1,1,1.0831840999999258,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
5,1,1,1.6504374999999527,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
6,1,1,1.4328498999998374,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
7,1,1,1.6820606999999654,['c'],0,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
8,1,1,3.4491488999997273,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
9,1,1,1.1174307999999655,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
10,1,1,1.550552400000015,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
11,1,1,1.2000981000001048,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
12,1,1,2.133901700000024,['c'],0,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
13,1,1,0.9188263999999435,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
14,1,1,0.6170388999998977,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
15,1,1,0.41698859999996785,['n'],0,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
16,1,1,1.6328063000000839,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
17,1,1,0.6489255999999841,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
18,1,1,0.4515096000000085,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
19,1,1,0.6845721999998204,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
20,1,1,0.5331533999997191,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
21,1,1,0.7341972999997779,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
22,1,1,0.6511325000001307,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
23,1,1,0.5176879000000554,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
0,1,2,0.6848064999999224,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
1,1,2,0.5501736999999594,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
2,1,2,0.60127969999985,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
3,1,2,0.6174788999996963,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
4,1,2,0.6843164000001707,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
5,1,2,0.4346857999998974,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
6,1,2,0.616492599999674,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
7,1,2,0.6830939999999828,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
8,1,2,0.49996290000035515,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
9,1,2,0.5006198999999469,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
10,1,2,0.6325734999995802,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
11,1,2,0.616936099999748,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
12,1,2,0.3663068999999268,['n'],0,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
13,1,2,0.7168642000001455,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
14,1,2,0.5510109000001648,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
15,1,2,0.45058400000016263,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
16,1,2,0.43435269999963566,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
17,1,2,0.567371699999967,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
18,1,2,0.5343398999998499,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
19,1,2,0.3666017999998985,['c'],0,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
20,1,2,2.034683099999711,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
21,1,2,0.5838693000000603,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
22,1,2,0.5006535000002259,['c'],1,left,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
23,1,2,0.5673929999998109,['n'],1,right,none,-99,-99,0.5,-99,0,none,8,18,Woman,Right,
0,2,1,0.5683028999997077,['n'],1,right,none,-99,-99,0.4,-99,0,none,8,18,Woman,Right,
