withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.817490199999156,['c'],0,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
1,1,1,1.7680734000005032,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
2,1,1,2.68198029999985,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
3,1,1,1.0500307000002067,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
4,1,1,0.9998596999994334,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
5,1,1,0.800223600001118,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
6,1,1,0.8498754000011104,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
7,1,1,0.7672109999984968,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
8,1,1,0.8011141999995743,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
9,1,1,0.6677564000001439,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
10,1,1,1.067275100000188,['n'],0,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
11,1,1,0.8342092999992019,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
12,1,1,1.133681899998919,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
13,1,1,0.5677666999999929,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
14,1,1,0.45161989999905927,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
15,1,1,0.7994397000002209,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
16,1,1,0.6343840999998065,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
17,1,1,0.5510971999992762,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
18,1,1,0.5512231000011525,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
19,1,1,0.598699399999532,['n'],1,right,none,-99,-99,0.5,0,none,33,22,Woman,Right,
20,1,1,0.5502909999995609,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
21,1,1,0.6164976999989449,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
22,1,1,0.6168053000001237,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
23,1,1,0.6501069999994797,['c'],1,left,none,-99,-99,0.5,0,none,33,22,Woman,Right,
0,2,1,0.5667212999996991,['c'],1,left,none,-99,-99,0.4,0,none,33,22,Woman,Right,
1,2,1,0.5512899999994261,['n'],1,right,none,-99,-99,0.1,0,none,33,22,Woman,Right,
2,2,1,0.6010899000011705,['n'],0,left,none,-99,-99,0.2,0,none,33,22,Woman,Right,
3,2,1,0.4344279999986611,['c'],1,left,none,-99,-99,0.2,0,none,33,22,Woman,Right,
4,2,1,0.6325255000010657,['c'],1,left,none,-99,-99,0.2,0,none,33,22,Woman,Right,
5,2,1,0.4502397000014753,['c'],0,right,none,-99,-99,0.1,0,none,33,22,Woman,Right,
6,2,1,0.6675386000006256,['c'],1,left,none,-99,-99,0.1,0,none,33,22,Woman,Right,
7,2,1,0.4686048999992636,['n'],1,right,none,-99,-99,0.4,0,none,33,22,Woman,Right,
8,2,1,0.5509151999995083,['n'],1,right,none,-99,-99,0.4,0,none,33,22,Woman,Right,
9,2,1,0.49885790000007546,['c'],1,left,none,-99,-99,0.1,0,none,33,22,Woman,Right,
10,2,1,0.5003826000011031,['n'],1,right,none,-99,-99,0.2,0,none,33,22,Woman,Right,
11,2,1,0.8837599999988015,['c'],0,right,none,-99,-99,0.1,0,none,33,22,Woman,Right,
12,2,1,0.5831863999992493,['c'],1,left,none,-99,-99,0.4,0,none,33,22,Woman,Right,
13,2,1,0.48407229999975243,['c'],1,left,none,-99,-99,0.4,0,none,33,22,Woman,Right,
14,2,1,0.7012634000002436,['n'],1,right,none,-99,-99,0.4,0,none,33,22,Woman,Right,
15,2,1,0.6671099999985017,['n'],1,right,none,-99,-99,0.1,0,none,33,22,Woman,Right,
16,2,1,0.43435710000085237,['c'],0,right,none,-99,-99,0.1,0,none,33,22,Woman,Right,
17,2,1,0.5003916999994544,['n'],1,right,none,-99,-99,0.2,0,none,33,22,Woman,Right,
18,2,1,0.6163324000008288,['c'],1,left,none,-99,-99,0.2,0,none,33,22,Woman,Right,
19,2,1,0.5166367999991053,['c'],1,left,none,-99,-99,0.4,0,none,33,22,Woman,Right,
20,2,1,0.6839794999996229,['c'],1,left,none,-99,-99,0.2,0,none,33,22,Woman,Right,
21,2,1,0.5001066000004357,['n'],1,right,none,-99,-99,0.2,0,none,33,22,Woman,Right,
22,2,1,0.6009733000009874,['n'],1,right,none,-99,-99,0.4,0,none,33,22,Woman,Right,
23,2,1,0.5178753999989567,['c'],1,left,none,-99,-99,0.1,0,none,33,22,Woman,Right,
0,3,1,0.5833775999999489,['n'],0,left,['2'],2,3.1343551999998454,0.1,0,none,33,22,Woman,Right,
1,3,1,0.682813299999907,['n'],0,left,['8'],4,2.3669102000003477,0.1,0,none,33,22,Woman,Right,
2,3,1,0.9663311000003887,['c'],1,left,['3'],3,2.3671481999990647,0.4,0,none,33,22,Woman,Right,
3,3,1,1.0508363999997528,['n'],1,right,['9'],5,1.833712399999058,0.1,0,none,33,22,Woman,Right,
4,3,1,0.7162702999994508,['c'],1,left,['9'],5,1.1845984999999928,0.4,0,none,33,22,Woman,Right,
5,3,1,1.1316095999991376,['n'],0,left,['3'],3,2.1011099999996077,0.2,0,none,33,22,Woman,Right,
6,3,1,0.7507436000014422,['n'],0,left,['8'],4,2.366451199999574,0.1,0,none,33,22,Woman,Right,
7,3,1,1.1006342000000586,['c'],0,right,['1'],1,2.102593900001011,0.4,0,none,33,22,Woman,Right,
8,3,1,1.098184399999809,['n'],1,right,['0'],6,1.2525990000012825,0.4,0,none,33,22,Woman,Right,
9,3,1,1.166807500001596,['c'],0,right,['8'],4,1.602200499999526,0.4,0,none,33,22,Woman,Right,
10,3,1,1.266213200000493,['n'],1,right,['3'],3,1.3178938000000926,0.4,0,none,33,22,Woman,Right,
11,3,1,1.4336550000007264,['c'],1,left,['8'],4,1.3845662999992783,0.2,0,none,33,22,Woman,Right,
12,3,1,2.3154850999999326,['n'],1,right,['2'],2,1.6686165999999503,0.2,0,none,33,22,Woman,Right,
13,3,1,0.8834753000010096,['n'],1,right,['1'],1,1.6508278000001155,0.4,0,none,33,22,Woman,Right,
14,3,1,1.2508896999988792,['c'],0,right,['3'],3,3.2174400000003516,0.2,0,none,33,22,Woman,Right,
15,3,1,1.3833396000009088,['n'],0,left,['8'],4,1.483216700000412,0.1,0,none,33,22,Woman,Right,
16,3,1,1.3172420999999304,['n'],1,right,['8'],4,1.1012484000002587,0.1,0,none,33,22,Woman,Right,
17,3,1,2.2992582000006223,['n'],1,right,['2'],2,1.3520346999994217,0.2,0,none,33,22,Woman,Right,
18,3,1,1.3001174000000901,['n'],0,left,['3'],3,1.8011556000001292,0.4,0,none,33,22,Woman,Right,
19,3,1,1.3987997000003816,['n'],0,left,['8'],4,1.3336077999992995,0.2,0,none,33,22,Woman,Right,
20,3,1,3.833669200001168,['n'],0,left,['3'],3,1.1841022000007797,0.1,0,none,33,22,Woman,Right,
