withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.433650099999795,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
1,1,1,3.416939100000036,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
2,1,1,0.6167209000000184,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
3,1,1,2.032727799999975,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
4,1,1,0.9010731999997006,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
5,1,1,1.2010895999997047,['n'],0,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
6,1,1,1.7493438999999853,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
7,1,1,0.9519043999998757,['n'],0,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
8,1,1,0.7828012999998464,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
9,1,1,0.8177249000000302,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
10,1,1,0.8010770000000775,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
11,1,1,0.8011717999997927,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
12,1,1,0.6825825999999324,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
13,1,1,0.5667212999996991,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
14,1,1,1.0506106000002546,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
15,1,1,0.916919599999801,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
16,1,1,0.9664745999998559,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
17,1,1,0.5836710000003222,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
18,1,1,0.6011282999998002,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
19,1,1,0.4011305999997603,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
20,1,1,0.7995077000000492,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
21,1,1,0.6173244000001432,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
22,1,1,0.4842988000000332,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
23,1,1,0.6169242999999369,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
0,1,2,0.6345049000001382,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
1,1,2,0.5844908999997642,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
2,1,2,0.4171614000001682,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
3,1,2,0.9169255000001613,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
4,1,2,0.5005863000001227,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
5,1,2,0.5171227999999246,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
6,1,2,0.6677991999999904,['n'],0,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
7,1,2,0.48386719999962224,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
8,1,2,0.5170069999999214,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
9,1,2,0.45044259999986025,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
10,1,2,0.667779000000337,['c'],0,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
11,1,2,0.7676713999999265,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
12,1,2,0.5498380999997607,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
13,1,2,0.8334230999998908,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
14,1,2,0.6499022999996669,['c'],1,left,none,-99,-99,0.5,0,none,1,0,Woman,Left,
15,1,2,0.565975200000139,['n'],1,right,none,-99,-99,0.5,0,none,1,0,Woman,Left,
