withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.1656512000481598,['c'],1,left,none,-99,-99,0.5,-99,0,none,1,0,Woman,Left,
1,1,1,0.48334360000444576,['c'],1,left,none,-99,-99,0.5,-99,0,none,1,0,Woman,Left,
2,1,1,0.38347630004864186,['n'],1,right,none,-99,-99,0.5,-99,0,none,1,0,Woman,Left,
3,1,1,0.4667296999832615,['c'],1,left,none,-99,-99,0.5,-99,0,none,1,0,Woman,Left,
4,1,1,0.3820576000143774,['n'],1,right,none,-99,-99,0.5,-99,0,none,1,0,Woman,Left,
5,1,1,0.43224600004032254,['n'],1,right,none,-99,-99,0.5,-99,0,none,1,0,Woman,Left,
0,2,1,0.8165628000278957,['c'],1,left,none,-99,-99,0.4,-99,0,none,1,0,Woman,Left,
1,2,1,0.5011555000091903,['n'],1,right,none,-99,-99,0.2,-99,0,none,1,0,Woman,Left,
2,2,1,0.4836414000019431,['n'],1,right,none,-99,-99,0.4,-99,0,none,1,0,Woman,Left,
3,2,1,0.45003670000005513,['n'],1,right,none,-99,-99,0.2,-99,0,none,1,0,Woman,Left,
4,2,1,0.7162219000165351,['n'],0,left,none,-99,-99,0.1,-99,0,none,1,0,Woman,Left,
5,2,1,0.4999746999819763,['c'],1,left,none,-99,-99,0.1,-99,0,none,1,0,Woman,Left,
0,3,1,0.29963799996767193,['c'],1,left,['escape'],-99,11.62559999997029,0.1,-99,0,none,,,,,
